split,statement_id,original_label,label,label_name,statement,subject,speaker,speaker_job,state_info,party_affiliation,context,text_length_chars,text_length_words
train,2635.json,false,0,not_credible,says annies list political group supports thirdtrimester abortions demand,abortion,dwayne-bohac,State representative,Texas,republican,a mailer,73,9
train,324.json,mostly-true,1,credible,hillary clinton agrees john mccain voting give george bush benefit doubt iran,foreign-policy,barack-obama,President,Illinois,democrat,Denver,77,12
train,1123.json,false,0,not_credible,health care reform legislation likely mandate free sex change surgeries,health-care,blog-posting,,,none,a news release,71,10
train,12465.json,true,1,credible,chicago bears starting quarterbacks last years total number tenured uw faculty fired last two decades,education,robin-vos,Wisconsin Assembly speaker,Wisconsin,republican,a an online opinion-piece,101,15
train,2342.json,barely-true,0,not_credible,jim dunnam lived district represents years,candidates-biography,republican-party-texas,,Texas,republican,a press release.,42,6
train,9741.json,mostly-true,1,credible,says gop primary opponents glenn grothman joe leibham cast compromise vote cost million higher electricity costs,"energy,message-machine-2014,voting-record",duey-stroebel,State representative,Wisconsin,republican,an online video,112,16
train,7115.json,mostly-true,1,credible,first time history share national popular vote margin smaller latino vote margin,elections,robert-menendez,U.S. Senator,New Jersey,democrat,a speech,80,12
train,5947.json,false,0,not_credible,mitt romney governor massachusetts didnt slow rate growth government actually cut,"history,state-budget",mitt-romney,Former governor,Massachusetts,republican,an interview with CBN News,81,11
train,8616.json,mostly-true,1,credible,economy bled billion due government shutdown,"economy,federal-budget,health-care",doonesbury,,,none,a Doonesbury strip in the Sunday comics,44,6
train,8705.json,barely-true,0,not_credible,affordable care act already sense waived otherwise suspended,health-care,george-will,Columnist,Maryland,columnist,"comments on ""Fox News Sunday""",60,8
train,620.json,true,1,credible,mccain opposed requirement government buy americanmade motorcycles said buyamerican provisions quote disgraceful,federal-budget,barack-obama,President,Illinois,democrat,a radio ad,112,12
train,3863.json,barely-true,0,not_credible,us rep ron kind dwis fellow democrats went spending spree credit card maxed,federal-budget,national-republican-congressional-committee,,,republican,a news release,75,13
train,12385.json,mostly-true,1,credible,almost people left puerto rico last year,"bankruptcy,economy,population",jack-lew,Treasury secretary ,"Washington, D.C. ",democrat,an interview with Bloomberg News,40,7
train,10173.json,false,0,not_credible,women men making less adjust inflation john kitzhaber first elected governor,"economy,income",dennis-richardson,state representative,Oregon,republican,a campaign debate,76,11
train,9867.json,mostly-true,1,credible,united states highest corporate tax rate free world,"corporations,taxes",eric-bolling,"Co-host on Fox News Channel's ""The Five""",,none,"a discussion on Fox News' ""The Five""",51,8
train,12408.json,mostly-true,1,credible,best year auto industry america history,economy,hillary-clinton,Presidential candidate,New York,democrat,remarks at a Kentucky rally,39,6
train,7057.json,barely-true,0,not_credible,says mitt romney wants get rid planned parenthood,"abortion,federal-budget,health-care",planned-parenthood-action-fund,Advocacy group,"Washington, D.C.",none,a radio ad,49,8
train,12517.json,mostly-true,1,credible,hate crimes american muslims mosques tripled paris san bernardino,"crime,diversity,homeland-security,terrorism",hillary-clinton,Presidential candidate,New York,democrat,a speech after a terrorist attack in Orlando,65,9
