topic,topic_keywords,n_train_examples,p_not_credible,predicted_topic_label,example_statements
-1,outlier/noise,3065,0.5412724306688418,not_credible,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades. || Jim Dunnam has not lived in the district he represents for years now. || The economy bled $24 billion due to the government shutdown.
0,"health, care, obamacare, medicare, insurance, medicaid, law, will, coverage, for",730,0.6794520547945205,not_credible,"Health care reform legislation is likely to mandate free sex change surgeries. || Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended. || Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally."
1,"wisconsin, walker, scott, gov, milwaukee, walkers, wisconsins, state, mary, county",235,0.6893617021276596,not_credible,"Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions. || Milwaukee Mayor Tom Barrett has held the line on property taxes. || Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront."
2,"never, no, has, not, zero, been, have, any, there, single",159,0.5786163522012578,not_credible,Mr. Caprio is a career politician who has never worked in the private sector. || Barack Obama has never even worked in business. || The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.
3,"abortion, planned, parenthood, abortions, women, rape, birth, incest, pregnancy, coverage",138,0.6666666666666667,not_credible,Says the Annies List political group supports third-trimester abortions on demand. || Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe. || Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.
4,"students, college, graduation, school, high, schools, tuition, public, percent, math",127,0.31496062992125984,credible,"Maggie Hassan raised tuition, making it the highest in America. || Only 2 percent of public high schools in the country offer PE classes. || ...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat."
5,"campaign, clinton, money, super, foundation, donors, pac, donations, from, pacs",105,0.5904761904761905,not_credible,"Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs. || Hillary Clinton has taken over $800,000 from lobbyists. || Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200."
6,"border, immigrants, immigration, illegal, mexico, arizona, mexican, legally, are, coming",101,0.5643564356435644,not_credible,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person."" || Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support. || We have more illegal immigrants here than we did five years ago."
7,"debt, trillion, national, ceiling, added, interest, our, billion, president, day",99,0.3939393939393939,credible,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt. || The only time in our history when the debt has been higher than this was the end of World War II. || The (federal) debt is growing by more than $4 billion a day."
8,"voter, id, voting, voters, photo, vote, turnout, early, fraud, election",91,0.5494505494505495,not_credible,Says you need a photo ID to purchase Sudafed in Texas. || A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!! || You cant check out a library book without a photo ID.
9,"education, schools, school, cuts, funding, cut, scott, public, rick, gov",90,0.4666666666666667,credible,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000. || Says Rick Scott called education not a core function of the state. || Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%."
10,"mccain, john, mccains, breaks, said, tax, he, bush, troops, against",85,0.388235294117647,credible,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran."" || McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.'  || Sen. McCain's tax plan provides ""virtually nothing to the middle class."""
11,"rubio, marco, ted, cruz, amnesty, immigration, illegal, immigrants, deport, against",80,0.6625,not_credible,Newt Gingrichs immigration plan offers a new doorway to amnesty. || Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people. || Says Marco Rubio is the one for an open border.
12,"unemployment, rate, percent, above, promised, months, depression, higher, stimulus, consecutive",69,0.5507246376811594,not_credible,"Youth unemployment in minority communities is about 40 to 45 percent. || Says Obama promised unemployment would never go above 8 percent. || Says although the unemployment rate seems to be improving, it does not reflect real job creation -- its caused by a shrinking of the actual labor force."
13,"income, tax, taxes, pay, top, percent, earners, businesses, americans, small",67,0.35820895522388063,credible,"We cut business taxes so today 70 percent of our businesses dont pay a business tax. || In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent."" || The top 1 percent pay over half of the entire revenue for this country."
14,"votes, poll, time, polls, race, with, obama, nancy, percent, pelosi",66,0.5303030303030303,not_credible,"Says Mark Pryor votes with Obama 93 percent of the time. || Sen. Obama has always had a 100 percent prochoice rating. || The most recent Associated Press poll has Nader-Gonzalez at 6 percent, without any national coverage, against McCain and Obama."
15,"social, security, age, scheme, privatize, retirement, ponzi, privatizing, benefits, supports",65,0.6923076923076923,not_credible,Says David Jolly supports privatizing Social Security. || Says the U.S. Supreme Court found that Social Security is not guaranteed. || Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries.
16,"court, supreme, justice, judge, sotomayor, nominees, justices, filibuster, confirmed, judicial",64,0.640625,not_credible,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law. || On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings. || The Supreme Court cant overrule the other two branchesof government.
17,"iraq, war, obama, troops, flag, american, opposed, barack, president, marine",61,0.7213114754098361,not_credible,The Obama administration shut down the Amber Alert program because of the government shutdown. || You ... said that Barack Obama was not ready to be commander in chief. || Not even old Gen. Eisenhower saluted military personnel as president.
18,"florida, highest, nation, tax, state, rating, casino, property, texas, credit",60,0.33333333333333337,credible,There are a lot of casinos across the country that have gone bankrupt. || Texas this fiscal year will have more money in reserve than the other 49 states combined. || Says New Hampshire has the third-highest property tax in the country.
19,"marriage, gay, samesex, couples, webster, wedlock, marriages, born, marry, couple",59,0.576271186440678,not_credible,"In a majority of states, you can now marry freely, but can still be fired for who you love. || Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships. || The people of Rhode Island dont want same-sex marriage."
20,"climate, warming, change, global, earth, temperature, evidence, weather, is, humans",59,0.6271186440677966,not_credible,Climate change is directly related to the growth of terrorism. || Says Thomas Eric Duncan came into the United States with an elevated temperature. || Not one Republican has the guts to recognize that climate change is real.
21,"romney, mitt, romneys, bain, massachusetts, plant, says, business, tax, toys",52,0.46153846153846156,credible,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it. || Romney failed to take action against ""sanctuary cities"" in Massachusetts. || In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital."
22,"stimulus, spent, bill, projects, jobs, package, money, went, economic, funds",52,0.7115384615384616,not_credible,"This is what President Obama said the jobless rate would be if we passed the stimulus: 5.6 percent. || Says Steve Kagen promised us jobs, voting for the $787 billion stimulus. Cost: another 77,000 jobs lost. || The stimulus bill includes ""$300,000 for a sculpture garden in Miami."""
23,"hillary, clinton, emails, email, her, fbi, she, classified, director, sent",50,0.78,not_credible,Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on. || We didnt go out and take information from the Hillary Clinton campaign. || The @nytimes sent a letter to their subscribers apologizing for their BAD coverage of me.
24,"georgia, georgias, transportation, ranks, elected, dropped, tax, has, codes, proposed",49,0.24489795918367352,credible,"Electric car sales in Georgia have dropped dramatically since a $5,000 tax credit was eliminated and a $200 annual registration fee was imposed July 1. || Georgias civil forfeiture laws are among the worst in the country and the very worst in the South. || Georgia spends fewer tourism advertising dollars than any other state in the South."
